"f_year","groups","year","seg_urban_perc"
2004,"[1000,1010)",2004,0.2107205121
2004,"[1010,1020)",2004,0.2421012146
2004,"[1020,1030)",2004,0.0394520641
2004,"[1030,1040)",2004,0.0005710371
2004,"[1040,1050)",2004,0.0459571716
2004,"[1050,1060)",2004,0.0056404986
2004,"[1060,1070)",2004,0.0702469668
2004,"[1070,1080)",2004,0.0241176893
2004,"[1080,1090)",2004,0.0019632871
2004,"[1090,1100)",2004,0.0224747715
2004,"[1100,1110)",2004,0.1519798194
2004,"[1110,1120)",2004,0.1902554557
2004,"[1120,1130)",2004,0.0070705662
2004,"[1130,1140)",2004,0.0001896241
2004,"[1140,1150)",2004,0.0028180362
2004,"[1150,1160)",2004,0.0399666318
2004,"[1160,1170)",2004,0.0278994898
2004,"[1170,1180)",2004,0.0150084947
2004,"[1180,1190)",2004,0.0206173482
2004,"[1190,1200)",2004,0.0546463025
2004,"[1200,1210)",2004,0.4297028482
2004,"[1210,1220)",2004,0.5004165048
2004,"[1220,1230)",2004,0.2175958253
2004,"[1230,1240)",2004,0.0518326904
2004,"[1240,1250)",2004,0.2552993842
2004,"[1250,1260)",2004,0.4498801081
2004,"[1260,1270)",2004,0.1965647448
2004,"[1270,1280)",2004,0.1302027648
2004,"[1280,1290)",2004,0.3589196664
2004,"[1290,1300)",2004,0.5136271117
2004,"[1300,1310)",2004,0.7348400374
2004,"[1310,1320)",2004,0.5934498163
2004,"[1320,1330)",2004,0.335925783
2004,"[1330,1340)",2004,0.2517754565
2004,"[1340,1350)",2004,0.1495299929
2004,"[1350,1360)",2004,0.2650836249
2004,"[1360,1370)",2004,0.1053906937
2004,"[1370,1380)",2004,0.1738210824
2004,"[1380,1390)",2004,0.2993022236
2004,"[1390,1400)",2004,0.2399986687
2004,"[1400,1410)",2004,0.3424348164
2004,"[1410,1420)",2004,0.2090261474
2004,"[1420,1430)",2004,0.0694738473
2004,"[1430,1440)",2004,0.2263732243
2004,"[1440,1450)",2004,0.1936288896
2004,"[1450,1460)",2004,0.0948958077
2004,"[1460,1470)",2004,0.0516312344
2004,"[1470,1480)",2004,0.2821089954
2004,"[1480,1490)",2004,0.175584763
2004,"[1490,1500)",2004,0.4473242208
2005,"[0,10)",2005,0.2645889985
2005,"[10,20)",2005,0.1491734341
2005,"[20,30)",2005,0.0893137178
2005,"[30,40)",2005,0.0578883416
2005,"[40,50)",2005,0.0538583627
2005,"[50,60)",2005,0.0209896505
2005,"[60,70)",2005,0.0090125832
2005,"[70,80)",2005,0.0036749217
2005,"[80,90)",2005,0.0304185289
2005,"[90,100)",2005,0.1273981257
2005,"[100,110)",2005,0.0572983883
2005,"[110,120)",2005,0.0078417114
2005,"[120,130)",2005,0.0016113176
2005,"[130,140)",2005,0.0132803901
2005,"[140,150)",2005,0.3481864676
2005,"[150,160)",2005,0.3949621604
2005,"[160,170)",2005,0.0347074098
2005,"[170,180)",2005,0.0364014634
2005,"[180,190)",2005,0.0609663054
2005,"[190,200)",2005,0.0424748616
2005,"[200,210)",2005,0.0337861853
2005,"[210,220)",2005,0.0056379047
2005,"[220,230)",2005,0.012176656
2005,"[230,240)",2005,0.0985679772
2005,"[240,250)",2005,0.0120374369
2005,"[250,260)",2005,0.0011695767
2005,"[260,270)",2005,0.0095169014
2005,"[270,280)",2005,0.0037594436
2005,"[280,290)",2005,0
2005,"[290,300)",2005,0.0271703805
2005,"[300,310)",2005,0.0774606457
2005,"[310,320)",2005,0
2005,"[320,330)",2005,0.0014257591
2005,"[330,340)",2005,0.00744045
2005,"[340,350)",2005,0.0115674595
2005,"[350,360)",2005,0.0013930323
2005,"[360,370)",2005,0.09516815
2005,"[370,380)",2005,0.0495652261
2005,"[380,390)",2005,0.1162464335
2005,"[390,400)",2005,0.0101356732
2005,"[400,410)",2005,0.0063285936
2005,"[410,420)",2005,0.0082205398
2005,"[420,430)",2005,0.0444167302
2005,"[430,440)",2005,0.097836882
2005,"[440,450)",2005,0.0027781009
2005,"[450,460)",2005,0.0015474363
2005,"[460,470)",2005,0.0094207829
2005,"[470,480)",2005,0.0634740837
2005,"[480,490)",2005,0.0684712912
2005,"[490,500)",2005,0.0106839566
2005,"[500,510)",2005,0.0136635948
2005,"[510,520)",2005,0.0037605418
2005,"[520,530)",2005,0.0275458586
2005,"[530,540)",2005,0.0204160076
2005,"[540,550)",2005,0.000184039
2005,"[550,560)",2005,0.0009212772
2005,"[560,570)",2005,0.0586798129
2005,"[570,580)",2005,0.0802041221
2005,"[580,590)",2005,0.1601939616
2005,"[590,600)",2005,0.615669167
2005,"[600,610)",2005,0.9547920139
2005,"[610,620)",2005,0.7869050901
2005,"[620,630)",2005,0.4050781164
2005,"[630,640)",2005,0.2481059716
2005,"[640,650)",2005,0.0994859782
2005,"[650,660)",2005,0.0908969228
2005,"[660,670)",2005,0.0152724272
2005,"[670,680)",2005,0.0366141012
2005,"[680,690)",2005,0.0674560059
2005,"[690,700)",2005,0.4557719641
2005,"[700,710)",2005,0.2838838025
2005,"[710,720)",2005,0.0203754251
2005,"[720,730)",2005,0.0569687513
2005,"[730,740)",2005,0.2981944766
2005,"[740,750)",2005,0.1222288583
2005,"[750,760)",2005,0.0489208345
2005,"[760,770)",2005,0.0615839116
2005,"[770,780)",2005,0.0366204114
2005,"[780,790)",2005,0.0473109863
2005,"[790,800)",2005,0.0730644219
2005,"[800,810)",2005,0.1624524564
2005,"[810,820)",2005,0.0764083989
2005,"[820,830)",2005,0.0146585094
