f_year,year,groups,seg_floodplain_area,seg_ndvi_5_7,f_group,seg_cropland_perc
2002,2002,"[130,140)",0.029194647,0.001316018,14,0.04507736
2002,2002,"[140,150)",0.286541988,0.008514901,15,0.029716067
2002,2002,"[150,160)",0.236170005,0.015567766,16,0.065917627
2002,2002,"[160,170)",0.10259938,0.009997462,17,0.097441734
2002,2002,"[170,180)",0.402419771,0.039540933,18,0.098257927
2002,2002,"[180,190)",0.141335238,0.007371117,19,0.052153428
2002,2002,"[190,200)",0.083351043,0.003414807,20,0.040968971
2002,2002,"[200,210)",0.126765718,0.003386339,21,0.026713363
2002,2002,"[210,220)",0.299143456,0.024205618,22,0.08091642
2002,2002,"[220,230)",0.441600357,0.012129827,23,0.027467883
2002,2002,"[230,240)",0.474483889,0.063361413,24,0.133537543
2002,2002,"[240,250)",0.324230699,0.030496507,25,0.094058049
2002,2002,"[250,260)",0.262021769,0.011183488,26,0.042681521
2002,2002,"[260,270)",0.1520218,0.002841371,27,0.018690551
2002,2002,"[270,280)",0.102121112,0.004252267,28,0.041639451
2002,2002,"[280,290)",0.079627526,0.011555078,29,0.145114112
2002,2002,"[290,300)",0.083081935,0.011045103,30,0.132942288
2002,2002,"[300,310)",0.355614624,0.042666623,31,0.119979946
2002,2002,"[310,320)",0.213682931,0.058705989,32,0.274734105
2002,2002,"[320,330)",0.042587187,0.006114585,33,0.143578034
2002,2002,"[330,340)",0.050099654,0.010288042,34,0.205351553
2002,2002,"[340,350)",0.141228768,0.015316414,35,0.108451092
2002,2002,"[350,360)",0.03730987,0.003674359,36,0.098482223
2002,2002,"[360,370)",0.081820631,0.007537942,37,0.092127646
2002,2002,"[370,380)",0.24528725,0.148646865,38,0.606011379
2002,2002,"[380,390)",0.311727864,0.141877216,39,0.455131646
2002,2002,"[390,400)",0.266352985,0.017908613,40,0.06723639
2002,2002,"[400,410)",0.092141789,0.013784403,41,0.149599906
2002,2002,"[410,420)",0.066072263,0.003975937,42,0.060175577
2002,2002,"[420,430)",0.314652973,0.053937258,43,0.171418237
